,Date,User,Tweet,lokasi
466,2023-01-30 09:30:41+00:00,ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/8QldWqStP6,
467,2023-01-30 09:30:41+00:00,ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/9lofQysgP1,
468,2023-01-30 09:30:40+00:00,ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/OnPL7K5T0f,
469,2023-01-30 09:26:02+00:00,natalia_karmila,#aniesbaswedan #ridwankamil #sandiagauno #jokowi #capres #cawapres #puanmaharani #cakimin  #indonesia #exploresukabumi #kotasukabumi #infosukabumi #visitcianjur #sukabumitoday #explorecianjur #infocianjur #ciracap #caringin #cibadak #cisaat,
470,2023-01-30 09:03:47+00:00,fajaronline,"Desain Sistem Pemerintahan 2024, Cak Imin Sebut Koalisi KIR Libarkan Tim Ahli https://t.co/rpTqaEIwo7 #CakImin #Gerindra #KoalisiKIR #MuhaiminIskandar","Jakarta, Indonesia"
471,2023-01-30 09:00:49+00:00,parenangi,"Satu abad NU
#PKB
#CakImin https://t.co/shEXy9aH1X",
472,2023-01-30 08:09:59+00:00,ubaidillahinst,"Satu Abad NU
Gus Muhaimin Iskandar

#GusMuhaimin2024 
#dpppkb 
#FYP
#cakimin 
#PKB https://t.co/YMoEFAozhL",
473,2023-01-30 08:03:06+00:00,sutiknopkb,"""NU itu watak dasarnya adalah kekuatan politik. Sehingga watak dasar perjuangannya sejak awal adalah berpikir tentang negara, berpikir tentang pemerintahan,"" 

#1abadnu
#pkb 
#cakimin 
#sutikno 
#sutiknopkb https://t.co/o8V95QpqPd",
474,2023-01-30 07:45:39+00:00,lumbiredi,"Satu Abad NU
Gus Muhaimin Iskandar

#SatuAbadNU
#GusMuhaiminIskandar
@DPP_PKB @cakimin
@halimiskandarnu https://t.co/3udzu7fJPx","Lumbir, Indonesia"
475,2023-01-30 07:33:31+00:00,Zulfanerdogan,"#nu
#satuabadnu
#pkb
#cakimin https://t.co/a5hUKN91Q1",
476,2023-01-30 07:30:18+00:00,rahmaumi77,"SATU ABAD NU

@cakiminow 

#satuabadnu 
#1abadnu 
#pkb 
#pkbjatim 
#cakimin 
#gusmuhaimin 
#Muhaiminiskandar https://t.co/3sQ1R4yqRH",
